Index,answers
t_88,"[""Okay, here's the transcription of the three audio clips:\n\n**Clip 1:**\n\n上一次争吵是和女朋友争吵，原因是主要是一些细小的小事，但是之后我们就和好了。\n\n**Clip 2:**\n\n喜欢小孩子，因为小孩子代表着是童真，还有代表着新生，给予人希望。\n\n**Clip 3:**\n\n友好， 善良， 活泼开朗， 乐于学习。""]","['上一次争吵是和女朋友争吵。原因是因为一些很细小的小事儿，但是之后我们就和好了。', '友好，善良，活泼开朗，乐于学习。', '喜欢小孩子。因为小孩子代表着童真，代表着新生，给予人希望。']"
t_89,['不算争吵吧， 但是 可能自己会 有一些 不满的情绪在， 就在 微信群里面会 发文字 来表达自己的情绪。 嗯 我是觉得班长， 安排工作安排的不是很合理， 然后就表达了自己的意见。 真的不算争吵。 我本人 也不太会 太会。 以前不是很喜欢，觉得他们太闹腾了，然后又不能跟他们讲道理。 后来 这两年，因为有 接触过小孩子，所以觉得也还行，也挺喜欢的。感觉他们 还挺可爱。 嗯 也喜欢跟他们一起玩。 觉得他们的想法比 最近感到开心的事情， 就是昨天 去见了自己喜欢的小哥哥，看着他在篮球场上打篮球，还递了一瓶矿泉水给他，就很满足。'],"['也不算争吵吧，但是自己可能会有一些不满的情绪，就在微信群里会发文字来表达自己的情绪。我是觉得班长安排工作安排得不是很合理，就表达了自己的意见，就不算是争吵。我本人也不太会争吵。', '最近感到开心的事情就是去见了自己喜欢的小哥哥，看他在篮球场上打篮球还递了一瓶矿泉水给他，就很满足。', '以前不是很喜欢，觉得他们太闹腾了，也不能跟他们讲道理。后来，这两天因为有接触过小孩子，觉得也还行也挺喜欢的，也挺可爱，也喜欢跟他们一起玩。就他们的想法也比较单纯吧。']"
t_9,"['Okay, here are the transcriptions of the audio clips:\n\n**Clip 1:**\n我好像不怎么和别人吵架。 上一次和别人吵架可能还是因为跟我爸爸吵架吧。 我平时在宿舍的话是不会跟室友吵架的。 一般都是我气他们, 但是我 我不跟他们吵。 跟我爸爸吵架的话 我跟我爸已经吵习惯了, 觉得可能20岁了不会再吵架, 但 可能还是会吵, 但是就是吵完之后处理问题的方式可能会变得更成熟一点。 就是两个人都会向彼此道歉这样, 我觉得这个是我们两个的一个成长, 不仅是我, 我觉得是也是我爸的。\n\n**Clip 2:**\n我现在学的是园艺, 园艺的话 主要是对园艺植物进行一种栽培, 或者是对园艺植物的生理 要什么? 生理学, 对它生长发规律的一个研究, 选择这个专业是 其他专业不想选, 然后这个很亲奇。\n\n**Clip 3:**\n喜欢看雪, 喜欢 我们家楼下做烤冷面叔叔的烤冷面。 加肠加蛋不要辣。']","['我好像不怎么和别人吵架，上一次和别人吵架，可能还是因为跟我爸爸吵架吧。我平时在宿舍的话是不会跟舍友吵架的，一般都是我气他们，但是我不跟他们吵。跟我爸爸都吵架的话，我跟我爸已经吵习惯了，觉得可能二十岁了不会再吵架，但，可能还是会吵，但是就是吵完之后处理问题的方式可能会变得更成熟一点，就是两个人都会向彼此道歉，这样，我觉得这个是我们两个的一个成长，不仅是我，也是我爸的一个成长', '喜欢看雪，喜欢我们家楼下做烤冷面叔叔的烤冷面，加肠加蛋不要辣', '我现在学的是园艺，园艺的话，主要是对园艺植物进行一种栽培，或者是对园艺植物的生理，额，叫什么，生理学']"
t_90,"['好的，这是音频文件的文字记录：\n\n**Clip 1:**\n上一次争吵, 应该算是, 一周前吧, 也不算是争吵, 只能算争论。 就是关于, 为什么要否定别人, 怎么否定别人, 然后是不是需要有理有据的问题, 因为发现自己身边的室友越来越杠精。\n\n**Clip 2:**\n不喜欢小孩。 因为不喜欢又吵又闹不讲道理的人类, 也又在。 虽然说有人说那叫天真, 可是其实很多时候他们就是单纯的没有素质, 要智商底下。\n\n**Clip 3:**\n他的脾气很好, 会纵容我的很多东西, 我独断孤一任性的时候, 就是他都不会计较。']","['上一次争吵应该算是一周前吧。也不能算争吵只能算争论，就是关于为什么要否定别人、怎么否定别人，然后是不是需要有理有据的问题。因为发现自己身边的舍友越来越杠精。', '他的脾气很好，会纵容我的很多东西。我的故意任性的时候，就是他都不会计较。', '不喜欢小孩。因为不喜欢又吵又闹又不讲道理的人类幼崽。虽然有人说那叫天真，但其实很多时候他们就是单纯的没有素质智商低下。']"
t_91,"['Okay, here are the transcriptions of the three clips:\n\n*   **Clip 1:** 是上周是因为他想跟我解释什么事情, 反而我觉得都不需要解释。\n*   **Clip 2:** 我喜欢小孩子,因为我也是个妈妈。\n*   **Clip 3:** 喜欢家乡的青山绿水。']","['是上周。是因为他想跟我解释什么事情，反而我觉得不需要解释。', '喜欢家乡的青山绿水。', '我喜欢小孩子。因为我自己也是个妈妈。']"
t_93,"['Okay, here are the transcriptions of the three clips:\n\n*   **Clip 1:** 时间太久远了，我已经忘了。好像没有跟别人争吵过。 对啊，好像是没有跟人家吵架。\n*   **Clip 2:**  然后我很喜欢小孩子，喜欢的原因，人类不都喜欢幼体吗？\n*   **Clip 3:** 哎，我放松的时候最喜欢睡觉。因为睡觉让我开心。']","['时间太久远了，我已经忘啦。我好像没有跟人争吵过。对啊，我好像是没有跟人吵架。', '诶？我放松的时候最喜欢睡觉，因为睡觉使我开心。', '啊我很喜欢小孩子。喜欢的原因，人类不都喜欢幼体吗？']"
t_96,"['Okay, here are the transcriptions of the three audio clips:\n\n**Clip 1:**\n\n再到車站買票的時候,旁邊有一個老大了,他硬要說我插隊,他自己站在旁邊,他覺得我插了他的隊的。 就很離譜,然後整個人也特別神經質的。\n\n**Clip 2:**\n\n不太喜歡小孩子很鬧騰,你也沒法照顧小孩感受。\n\n**Clip 3:**\n\n氣候比較好。 空氣質量比較好,然後吃的東西比較符合口味。 然後像內種口味。']","['在高铁站买票的时候，旁边有个老大娘硬要说我插队，她自己站在旁边，她觉得我插了她的队的。就很离谱，然后整个人也是特别神经质的一个傻货。', '气候比较好，空气质量比较好，吃的东西比较符合口味，然后山地口味重口味点。', '不太喜欢小孩子。小孩子很闹腾，你也没有办法照顾他的感受。']"
t_97,['好的，这是音频文件的文本记录：\n\n**Clip 1:**\n嗯，最后悔的事情可能没有最后悔，人生不如意事有八九，但是心态放好就好了，就不会有后悔的事情了，坚定自己每一个选择都是对的。\n\n**Clip 2:**\n喜欢呀，因为觉得小孩子充满着朝气，然后自己的心态也会变年轻。\n\n**Clip 3:**\n放松的时候， 喜欢看书，因为觉得在书里面可以感受各种各样不同的人的人生，然后让自己的心情得到放松。'],"['嗯，最后悔的事情，没有最后悔的事情吧。人生不如意十有八九，心态放好就好啦，就不会有后悔的事情了。就坚定自己每一个选择都是对的。', '放松的时候喜欢看书。因为觉得在书里面可以感受各种不同的人生，然后让自己的心情得到放松。', '喜欢呀，因为觉得小孩子充满着朝气，然后自己的心态也会变年轻。']"
t_99,"['Okay, here is the transcription of the audio clips:\n\n**Clip 1:**\n\n就很久以前了吧，应该是大学本科的时候，可能和室友一次争吵吧。 因为他在我睡觉的时候抽烟，我我有点受不了。\n\n**Clip 2:**\n\n因为他们都很天真，很好玩。然后他们就是和他们一起玩的话，我也会挺开心的，但是熊孩子我就不太行。\n\n**Clip 3:**\n\n一边看，看电影一边打游戏。因为这样的话就可以就是比较放松嘛，也比较开心，可以缓解一下就是平常的工作的压力。']","['很久很久以前了吧。应该是大学本科的时候，可能和舍友一起争吵吧，因为他在我睡觉的时候抽烟，我有点受不了。', '一边看电影一边打游戏。因为这样比较放松嘛，比较开心，也可以缓解平常中工作的压力吧。', '喜欢小孩儿啊，因为他们都很天真很好玩，然后和他们一起玩的话我也会挺开心的，但是熊孩子的我就不太喜欢。']"
v_10,"['好的，這是轉錄的音檔內容：\n**Clip 1:**\n我呢目前在讀博士，我最近一次感到懊惱和不開心是在上個月，我做出來的實驗結果，嗯，很難從理論方面，很難對其進行理論上的解釋。所以那一段時間我很不開心，呃很很懊惱，很不開心。\n\n**Clip 2:**\n我個人的家庭組成是比較簡單的。我的家庭就包括我的父母以及我本人。嗯，但是呢，如果再往外擴大的說的話呢，我父母各自他們都有很多的兄弟姐妹。比如說我母親有兩個弟弟，我父親呢有上，有兩個姐姐，以及好幾個哥哥。所以說從家族的角度來說的話，這個家庭還是比較大的。\n\n**Clip 3:**\n我最好的朋友現在在中國地質大學讀博士。他呢比較活潑開朗,而且積極向上。同時呢非常的上進。平時跟他接觸的時候呢,我就覺得他非常的健談。呃他呢平時的學習中呢也很刻苦,閱讀了大量的論文,然後呢對於這個做科學研究來說吧,他呢也有很多自己獨到的見解。']","['我呢目前在读博士，我最近一次感到懊恼和不开心，是在上个月，我做出来的实验结果。嗯，很难从理论方面很难对其进行理论上的解释。所以那一段时间我很不开心。很。很懊恼很不开心。', '我最好的朋友现在在中国地质大学读博士，他比较活泼开朗，而且积极向上，同时非常的上进。平时跟他接触的时候我就觉得他非常的健谈，他平时的学习中也很靠谱，阅读了大量论文，然后对于做科学研究来说他也有很多自己独到的见解。', '我个人的家庭组成是比较简单的，我的家庭就包括我的父母以及我本人，但是如果再往外扩大的说的话，我父母各自他们都有很多的兄弟姐妹，你像我母亲有两个弟弟，我父亲有上有两个姐姐以及好几个哥哥。所以说从家族的角度来说的话，家庭还是比较大的。']"
v_103,"['Okay, here\'s the transcription of the audio clips:\n\n*   **Clip 1:** ""嗯，上次和人争吵，不记得了。 最近几天都没有人争吵过。""\n*   **Clip 2:** ""我的专业是软件工程。 选择这个原因是考研被调剂了。""\n*   **Clip 3:** ""最近没什么让我开心的事情。""']","['上一次和人争吵，不记得了。最近时间都没有与人争吵过。', '最近没什么让我开心的事情。', '专业是软件工程，选择这个原因是考研被调剂了。']"
v_104,"['Okay, here are the transcriptions of the three clips:\n\n**Clip 1:** 不是特别经常，睡得不舒服。\n\n**Clip 2:** 嗯，我的哥哥。\n\n**Clip 3:** 初中同学，他的情商很高。']","['不是特别经常。睡得不舒服。', '初中同学。他的情商很高。', '我的哥哥。']"
v_105,"['Okay, here are the transcriptions of the three audio clips:\n\n**Clip 1:** 最讨厌的是就是别人不经我同意乱放我东西。\n\n**Clip 2:** 玩游戏，看动画，然后看书。\n\n**Clip 3:** 听音乐，因为听音乐能让我感到放松，忘记一些烦恼的事。']","['最讨厌的事就是别人不经我同意乱翻我东西。', '听音乐，因为听音乐能让我感到放松，忘记一些烦恼的事。', '玩游戏，看动画，然后看书。']"
v_106,['好的，这是音频文件的转录： Clip 1: 我最讨厌那种比较 傲慢，然后没有礼貌啊 喜欢随便嘲讽别人 不顾他人感受的那些人。 Clip 2: 应该是高考吧，毕竟是改变人一生的大事。 Clip 3: 我喜欢和朋友一起玩游戏，因为这样的话， 大家一起玩聊聊天，挺热闹，挺开心的。'],"['我最讨厌那种比较傲慢，然后没有礼貌，喜欢随便嘲讽别人，不顾他人感受的那些人。', '我喜欢和朋友一起玩游戏，因为这样的话大家一起玩聊聊天，挺热闹挺开心的。', '应该是高考毕竟是改变人一生的大事。']"
v_11,"['Clip 1: 會和朋友們說一下吧,或者是一些沒有什麼一些比較小的讓我生氣的事,就一會就氣消了過去了。\nClip 2: 嗯,我不太喜歡小孩,因為小孩,如果是我的孩子的話,就會佔用我很多的精力去照顧他。\nClip 3: 剛才中午叫睡了兩小時,可開心了。']","['会和朋友们说一下，或者是一些没有什么一些比较小的让我生气的事，就一会就气消了过去了。', '刚才中午觉睡了两小时可开心了。', '我不太喜欢小孩，因为小孩如果是我的孩子的话，就会占用我很多的精力去照顾他。']"
v_12,['好的，这是音频文件的文字转录：\n\n**Clip 1:**\n\n嗯，最近一次情绪不好，还是因为工作场的事，因为一些个认为是， 不公平，不公正，或者是，不正确的占据了主导地位。\n\n**Clip 2:**\n\n喜欢小孩， 孩子们， 让人觉得 看，能看到， 真正的， 纯洁，善良和美好。\n\n**Clip 3:**\n\n放松的时候最喜欢闭着眼睛想一些个让自己高兴的事， 因为这样情绪会越来越好。'],"['最近一次情绪不好，还是因为工作上的事，因为一些个认为是不公平不公正，或者是不正确的占到了主导地位。', '放松的时候最喜欢闭着眼睛想一些个让自己高兴的事，因为这样情绪会越来越好。', '喜欢小孩，小孩子让人觉得看能看到真正的纯洁善良和美好。']"
v_13,['好的，这是音频文件的文字记录。\n\n**剪辑 1:**\n曾经有一份就是offer，很好很满意。 当时因为诸多原因，加上家里的意见，没有接这份offer。后面整个职业生涯规划完全朝另外一条。 是比较后悔。\n\n**剪辑 2:**\n不是很喜欢。我，我觉得我自己还是个小孩子。 然后，不是很耐心去带。\n\n**剪辑 3:**\n呃我的一个表姐，就是她整个人都很 积极向上，也很阳光开朗。 然后处事风格也很利落。 能给我带来，很多事情能给我带来很多很好的建议，不管是工作上还是。'],"['曾经有一份 offer很好很满意，当时因为种种原因加上家里的意见，后面整个职业生涯规划完全是朝另外一条是比较后悔的。', '我的一个表姐。他整个人都很积极向上，也很阳光开朗，然后处事风格也很利落，能给我带来很多事情给我带来很多很好的建议，不管是工作上还是生活上。', '不是很喜欢，我，我觉得我自己还是一个小孩，不是很有耐心去带小孩。']"
v_15,['好的，这是音频文件各个片段的文字稿：\n**Clip 1:**\n最近来说没有什么特别懊恼或者不开心的事情，如果说的话可能是刚刚步入职场。 在为人处世方面或者 怎么说就是在为人处事方面有些做得不是很到位。 然后自己的老师，自己的师傅说的时候感觉啊确实自己这方面做得 不是很好， 进而感觉到可能有一定的沮丧。 嗯\n\n**Clip 2:**\n我大学的专业是石油工程。 选择石油工程的原因呢，第一点，从自身来说，因为 生在油城长大，所以对这方面耳濡目染的 就有了一定的了解。 第二方面 是自身的成绩，导致当时可选择的大学不是很多。 在 这些大学里面 石油工程是该学校的比较好的一个专业。 所以我选择了石油工程这一专业。\n\n**Clip 3:**\n我放松的时候比较喜欢看一些直播。 这样的话，可以使自己的身心得到一定的放松。 嗯'],"['最近来说没有什么特别懊恼或者说不开心的事情，如果说的话可能是刚刚步入职场，在为人处事方面或者怎么说，就是在为人处事方面有些做的不是很到位。而后自己的老师自己的师傅说的时候感觉，哦，确实自己这方面做得不是很好，进而感觉到可能有一定的沮丧。', '我放松的时候比较喜欢看一些直播，这样的话可以使自己的身心得到一定的放松。', '我大学的专业是石油工程，选择石油工程的原因，第一点从自身来说，因为身在油城长大，所以对这方面耳濡目染的就有了一定的了解。第二方面是自身的成绩，导致当时可选的大学不是很多。在这些大学里面石油工程是该学校的比较好的一个专业，所以我选择了石油工程这一专业。']"
v_16,"['Clip 1: 偶尔失眠，失眠的时候就是有一点焦虑，然后就看手机，直到天亮。\n\nClip 2: 喜欢，因为感觉小孩子很可爱。然后 比较好玩。\n\nClip 3: 我最好的朋友是我的高中同学。 我们性格相合, 然后他比较性格开朗啊, 然后呢,相处来。']","['偶尔失眠，失眠的时候就是有一点焦虑，然后就看手机，直到天亮。', '我最好的朋友是我的高中同学，我们性格相合，然后他比较性格开朗，很能相处来。', '喜欢，因为感觉小孩子很可爱，然后比较好玩。']"
v_17,"['Okay, here are the transcriptions of the three audio clips:\n\n**Clip 1:**\n我從來不失眠, 我只要躺到床上想睡覺就可以睡著。\n\n**Clip 2:**\n我未來希望從事的工作是具有創造性的, 並且對人類有意義的 工作。 因為我認為這樣有創造性的工作能讓我時時刻刻保持熱情和動力。 讓我繼續創新, 並且我認為工作應該是對人類有意義的。 只有有意義了, 我們才能實現個人的價值。\n\n**Clip 3:**\n我上一次感覺到開心是幾天以前, 嗯,就是 我居家隔離七天之後, 我可以出門玩了, 所以我感覺覺得很開心。']","['我从来不失眠，我只要躺到床上想睡觉就可以睡着。', '我上一次感觉到开心是几天以前我居家隔离7天之后我可以出门玩了，所以我感觉到很开心。', '我未来希望从事的工作是具有创造性的，并且对人类有意义的工作。因为我认为这样有创造性的工作，能让我时时刻刻保持热情和动力，让我继续创新，并且我认为工作应该是对人类有意义的，只有有意义了，我们才能实现个人的价值。']"
v_18,"['Here are the transcriptions of the audio clips:\n\n**Clip 1:**\n""我 前 一段时间 我 的 自行车 被 偷 的 时候, 我 找 我 通过 监控 找到 那个 偷 我 自行车 的 人, 然后 和 他 的""\n\n**Clip 2:**\n""考完 在 大学 一年级 考完 高数 感觉 要 挂, 然后 当 成绩 下来 之后, 也 还 可以 的 时候, 可能 那个 过程 就 给 我 印象 最 深刻.""\n\n**Clip 3:**\n""今天 花费 了 大概 一个 小时 陪 女朋友 吃 火锅。 这个 可能 是 我 最近 最 开。""']","['前一段时间我自行车被偷的时候，我找我通过监控找到那个偷我自行车的人，然后和他的争吵。', '今天花费了大概一个小时陪女朋友吃火锅，这可能是我最近最开心的事。', '在大学一年级考完高数感觉要挂，然后当成绩下来之后，也还可以的时候，可能那个过程令我印象最深刻。']"
v_19,['好的，以下是音频的文字稿：\n**Clip 1:**\n呃，我是偶发失明，失明的时候应该是压力比较大，或者是想一些事情的时候，然后可能又是睡不着啊。然后嗯，可能会当时会起来之后，比如说看一个视频，或者是听会歌吧，然后，然后再进行再睡睡觉。\n\n**Clip 2:**\n我们家一口四个人，然后我有一个姐姐，她已经结婚了，然后呃，我一个，我的小外甥已经四岁了，然后爸妈都，呃，还在工作。\n\n**Clip 3:**\n我最近感到开心的事情是，前段时间和朋友一起去吃烤肉的时候，因为发现那个店应该是挺无意间的，然后并且它是自助的，然后并且对学生还挺便宜的，当时吃的是特别的开心。'],"['以后我是偶尔失眠的时候应该是压力比较大，或者是想一些事情的时候。然后。可能就是睡不着。然后可能会当时会起来之后，比如说看一个视频或者是听会歌，然后然后再进行再睡觉。', '我最近感到开心的事情是前段时间和朋友一起去吃烤肉的时候，因为发现那个店应该是挺无意间的，然后并且它是自助的，然后并且对学生还挺便宜的，当时吃的是特别的开心。', '我们家一口4个人，然后我有1个姐姐她已经结婚了，然后一个我的小外甥已经4岁了，然后爸妈都人还在工作。']"
v_2,['好的，这是音频文件的转录：\n\n*   **剪辑 1：**\n    生气的时候保持微笑就好了呀。有那么多情绪要干嘛？情绪是没有用处的东西。\n*   **剪辑 2：**\n    未来 考虑当个主播或者 职业教围棋什么的。因为这些有意思呀，而且其他的东西就比较麻烦。我是一个比较懒且肤浅的人。\n*   **剪辑 3：**\n    喜欢打游戏，因为 因为游戏可以带你体验另一个世界，而且它有意思呀。'],"['生气的时候保持微笑就好了。有那么多情绪要干嘛？情绪是没有用处的东西。', '喜欢打游戏，因为因为游戏可以带你体验另一个世界，而且还有意思。', '未来的话可以考虑当个主播或者职业教围棋什么的。因为这些有意思呀，而且其他的东西就比较麻烦。我是一个比较懒且佛系的人。']"
v_20,"['Okay, here are the transcriptions of the audio clips:\n\n**Clip 1:**\n呃，有时候会失眠。 嗯，就是压力比较大的时候会晚上就一直睡不着觉嘛。 然后第二天早上就会比较，就是比较难受，就整个人都浑身都比较难受。\n\n**Clip 2:**\n呃，喜欢，因为有的时候会觉得小孩子会比较好玩。\n\n**Clip 3:**\n嗯，最喜欢我们家的吃的。']","['嗯，有时候会失眠，嗯，就是压力比较大的时候会晚上就一直睡不着觉，然后第二天早上就会比就是比较难受，就整个人都浑身都比较难受。', '最喜欢。我们家的吃的。', '喜欢，因为有时候会觉得小孩子会比较好玩。']"
v_21,"['Okay, here are the transcriptions of the three audio clips:\n\n*   **Clip 1:** 讨厌那种没有意义的社交\n*   **Clip 2:** 嗯我有三个姐姐。然后还有爸爸妈妈这样我们一共六个。\n*   **Clip 3:** 最近快回家过年了，比较开心。']","['讨厌那种。没有意义的社交。', '最近快回家过年了，比较开心。', '我有三个姐姐，然后还有爸爸、妈妈，加上我，我们一共是六个人。']"
v_22,['好的，這是音檔的逐字稿：\n**Clip 1:**\n\n最後悔的事情有些是，嗯，當時沒有意識到的，有些是意識到但做了錯誤決策的。 至於最後悔的事情，覺得當時往前看，嗯，包括15年高考報志願，還有18年推免的時候，太輕馬成功了。 嗯，當時甚至出期跑下連營，找面試，連筆記本都不帶的，覺得有些迎頭亂撞的感覺，覺得當時，嗯，如果是換一種態度，和心態，而認真的去了解和準備的話，覺得會有一個更符合預期的更切實的結果，然後，嗯，現在的路，因為每一段路，每去到一個地方，那個地方的風氣、習慣都會形成隱喻。 嗯，所以往往試用視角的路其實也預示了自己將來的路，嗯，我覺得當時是沒有認真考慮過了，總覺得這一階段走完了就結束了，嗯，也難以想像出一個清晰的計劃這樣子。\n\n**Clip 2:**\n\n未來希望到互聯網公司做後台開發。也就是做程序員。\n嗯，現在希望能有更高的工資來解決一些經濟和階級問題。然後，又是互聯網紅利還沒有過去，去年比前年還有倒掛的這樣一個現象，然後，如果是從事科研的話，希望去國外讀個博士，但是現在一方面，嗯，海外博士就業的處境沒有前些年那麼好。然後又有疫情之類種種原因，太好的學校又比較難深。嗯，相比之下覺得以後要在國內工作的話還是，嗯，趁早找到一個工作崗位。嗯，抓住一些切實的東西。\n\n**Clip 3:**\n\n上一次開心大概是之前投的論文中的時候，然後因為投論文的過程也經歷了一波三折，反复的修改。 嗯。 最後也是經過一次修改寫reply letter，然後最後論文被接受，感覺也達到了碩士的畢業要求。 嗯， 基本上是按照自己入學時的預期，然後來 一步步的 完成了論文這項工作。'],"['最后悔的事情，有些是。当时没有意识到的，有些是意识到，但做了错误决策的。至于最后悔的事情，觉得当时往前看。嗯，包括15年高考报志愿，还有18年推免的时候，太天马行空了，当时甚至出去跑佳联营，找面试，连笔记本都不带对吧？觉得有些晕头乱撞的感觉，觉得当时如果是换一种态度和心态而认真的去了解和准备的话，觉得会有一个更符合预期的更切实的结果。然后现在的路，因为每一段路每去到一个地方，那个地方的风气习惯都会形成隐喻。所以往往使用是记录（这段我也没听清是三个什么字），其实也预示了自己将来的路。我觉得当时是没有认真考虑过了，总觉得这阶段走完了就结束了。也难以想象出一个清晰的计划。这样子。', '上一次开心大概是之前投的论文中了的时候，然后因为讨论的过程也经历了一波三折，反复的修改，最后也是经过一次修改，写reply letter，然后最后论文被接收。感觉也达到了硕士的毕业要求。基本上是按照自己入学时的预期，然后来一步步的完成了论文这项工作。', '未来希望到互联网公司做后台开发，也就是做程序员。现在希望能有更高的工资来解决一些经济和阶级问题。然后互联网红利还没有过去，去年比前年还有倒挂的这样一个现象，然后如果是从事科研的话，希望去国外读个博士，但是现在这一方面。海外博士就业的处境没有前几年那么好，然后又有疫情之类种种原因，太好的学校又比较难申。相比之下觉得以后要在国内工作的话还是。趁早找到一个工作岗位，抓住一些切实的东西。']"
v_23,"[""Okay, here are the transcriptions of the three audio clips:\n\n*   **Clip 1:** 听不清了。 (tīng bù qīng le.)\n*   **Clip 2:** 喜欢，因为他们会很可爱。(xǐhuan, yīnwèi tāmen huì hěn kě'ài.)\n*   **Clip 3:** 玩儿游戏，这会让我更快乐。(wánr yóuxì, zhè huì ràng wǒ gèng kuàilè.)""]","['记不清了。', '玩儿游戏。这会让我更快乐。', '喜欢，因为他们会很可爱。']"
v_24,"['Okay, here are the transcriptions of the three audio clips:\n\n**Clip 1:**\n\n""嗯, 如果一开始能耐住麻烦, 去认真调研很多事情的话, 可能我就会做出一些更明智的选择吧。 嗯, 一开始不耐烦, 所以可能是 我最后悔最想改的事情。""\n\n**Clip 2:**\n\n""嗯, 我想 当一名软件工程师。 首先是因为大学学的就是这个专业, 嗯, 不想让这四年荒废了。 然后其次是因为毕竟这个行业就业前景也不错, 然后薪资待遇的什么的也很好。 然后 嗯,第三点是, 我觉得 这个东西可以趁着年轻的时候拼一把。 也挺有挑战性的。""\n\n**Clip 3:**\n\n""嗯,我最喜欢家乡 有一个地方的风景。 啊,那边你会看到一条河,然后河的对岸就是连绵起伏的群山。 嗯,然后你站在那里看那个群山的时候,你会感觉到 大概是一种辽阔和平静吧。""']","['嗯。如果一开始能耐住麻烦，去认真调研很多事情的话，可能我就会做出一些更明智的选择。嗯，一开始不耐烦做，可能是我最后会最想改的事情。', '我最喜欢家乡有一个地方的风景，那边你会看到一条河，然后河的对岸就是连绵起伏的群山，然后你站在那里看群山的时候，你会感觉到大概是一种辽阔和平静。', '我想当一名软件工程师，首先是因为大学学的就是这个专业，不想让这4年荒废了。然后其次是因为毕竟这个行业就业前景也不错，然后薪资待遇的什么的也很好。然后。第三点是我觉得这个东西可以趁着年轻的时候拼一把，也挺有挑战性的。']"
v_25,['好的，以下是音訊檔案的逐字稿：\n\n**Clip 1:**\n欸，沒有，我我忘記了。疫情太久沒見人了。\n\n**Clip 2:**\n啊都博都博，都博挺好的。 測試測試。 進行測試。 測試測試，進行測試。 啊，嗯。\n\n**Clip 3:**\nThink about the person who has a positive impact on your life. How have he or she influence on you?'],"['没有忘记了。疫情太久没见人。', '测试测试，进行测试。测试测试，进行测试。Talk about the person who has a positive impact on your life. How has he or she influence on you?', '读博、读博挺好的。']"
v_27,"['Okay, here are the transcriptions of the three clips:\n\n**Clip 1:**\n\n偶尔会失眠,不是经常失眠,就是有一段时间会连续几天失眠,那那一段时间呃,就感觉躺着,虽然大 脑放空,呃,身体也放轻松了,但是就是没有办法入眠。\n\n**Clip 2:**\n\n一个人独处的时候,经常发呆,然后大部分时间是在发呆,然后少部分时间会刷刷手机呀,啥的。打发时间。\n\n**Clip 3:**\n\n呃,最喜欢家乡的食物,就是一些比较有风味的小吃。 上大学以后在上海就好像没有找到就是类似于家乡的小吃。']","['偶尔会失眠，不是经常失眠，就是有一段时间会连续几天失眠的那一段时间，就感觉躺着虽然大脑放空，额身体也放轻松了，但是就是没有办法入眠。', '最喜欢家乡。的食物，一些比较有风味的小吃。上大学以后在上海这边好像没有找到类似于家乡的小吃。', '一个人独处的时候经常发呆，然后大部分时间是在发呆，然后少部分时间会刷刷手机啥的，打发时间。']"
v_28,"['Okay, here are the transcriptions of the audio clips:\n\n*   **Clip 1:** 读本科的时候没有好好学习，挺后悔的。\n\n*   **Clip 2:** 我将来希望能做一名科研人员。\n\n*   **Clip 3:** 最近拿到了PhD的offer，很开心。']","['本科的时候没有好。好好学习挺后悔的。', '最近拿到了PHD的offer很开心。', '我将来希望能做一名科研人员。']"
v_29,['好的，这是音频文件的转录：\n\n**Clip 1:**\n“嗯，想一些开心的事情， 或者用一些其他事情来打断自己的分心， 大概就是这样。 来让自己很快的心情不再去想这些事情，然后呢或者 去想一些对策。”\n\n**Clip 2:**\n“一些科学家或者研究人员嘛，也就是我从小的一个梦想，小时候就说自己想当科学家。 然后就像一个种子一样，后面慢慢影响你的行为，影响你做出选择。  好久一路走到这里了。”\n\n**Clip 3:**\n“嗯，我爸爸吧，他 根据他的日常行为影响到我。 他的教育，他让我自由的成长。 然后呢， 没有给我太多压力。 然后他的一些行为，他做事这些风格也会影响到我。”'],"['想一些开心的事情，或者用一些其他事情来分来打断自己的分心，大概就是这样。来让自己分心就不再去想这些事情，然后或者去想一些对策。', '嗯……，我爸爸吧。他根据他的日常行为影响的我。他的教育才让我自由的成长。然后没有给我太多压力，然后他的一些行为，他做事的一些风格也会影响到我。', '科学家或者研究人员，也就是我从小的梦想，小时候就说自己想当科学家，然后就像一根轴子一样，在后面慢慢影响你的行为，影响你做出选择，我就一路走到这里来了。']"
v_30,"['Sure, here are the transcriptions of the audio clips you provided:\n\n**Clip 1:**\n\n呃,最后悔的事情应该是 小学的时候没有保护好眼睛吧, 然后, 所以导致在小学时候很早就近视了, 然后现在眼睛度数也比较高。\n\n**Clip 2:**\n\n呃我的专业是软件工程。 其实选择了这个专业比较阴差阳错, 当时 考研的时候报考的是自己本科的本专业自动化, 然后因为考研分数差了一点, 然后就调剂到了软件学院, 来到软件工程专业。\n\n**Clip 3:**\n\n呃昨天晚上吃完饭的时候, 感觉晚饭很好吃, 所以很开心。']","['最后悔的事情应该是小学的时候没有保护好眼睛，然后所以导致在小学时候很早就近视了，然后现在眼睛度数也比较高。', '昨天晚上吃晚饭的时候，感觉晚饭很好吃，所以很开心。', '我的专业是软件工程，其实选择这个专业比较阴差阳错，当时考研的时候报考的是自己本科的本专业自动化，然后因为考研分数差了一点，然后就调剂到了软件学院来到软件工程专业。']"
